Date,Open,High,Low,Close,Adj Close,Volume
9/16/21,752.830017,758.909973,747.609985,756.98999,756.98999,13923400
9/17/21,757.150024,761.039978,750,759.48999,759.48999,28204200
9/20/21,734.559998,742,718.619995,730.169983,730.169983,24757700
9/21/21,734.789978,744.73999,730.440002,739.380005,739.380005,16330700
9/22/21,743.530029,753.669983,739.119995,751.940002,751.940002,15126300
9/23/21,755,758.200012,747.919983,753.640015,753.640015,11947500
9/24/21,745.890015,774.799988,744.559998,774.390015,774.390015,21373000
9/27/21,773.119995,799,769.309998,791.359985,791.359985,28070700
9/28/21,787.200012,795.640015,766.179993,777.559998,777.559998,25381400
9/29/21,779.799988,793.5,770.679993,781.309998,781.309998,20942900
9/30/21,781,789.130005,775,775.47998,775.47998,17956000
10/1/21,778.400024,780.780029,763.590027,775.219971,775.219971,17031400
10/4/21,796.5,806.969971,776.119995,781.530029,781.530029,30483300
10/5/21,784.799988,797.309998,774.200012,780.590027,780.590027,18432600
10/6/21,776.200012,786.659973,773.219971,782.75,782.75,14632800
10/7/21,785.460022,805,783.380005,793.609985,793.609985,19195800
10/8/21,796.210022,796.380005,780.909973,785.48999,785.48999,16711100
10/11/21,787.650024,801.23999,785.5,791.940002,791.940002,14200300
10/12/21,800.929993,812.320007,796.570007,805.719971,805.719971,22020000
10/13/21,810.469971,815.409973,805.780029,811.080017,811.080017,14120100
10/14/21,815.48999,820.25,813.349976,818.320007,818.320007,12247200
10/15/21,823.73999,843.210022,822.349976,843.030029,843.030029,18818000
10/18/21,851.789978,875.26001,851.469971,870.109985,870.109985,24207200
10/19/21,877.530029,877.950012,862.51001,864.27002,864.27002,17381100
10/20/21,865.349976,869.48999,857.380005,865.799988,865.799988,14032100
10/21/21,856,900,855.5,894,894,31481500
10/22/21,895.5,910,890.960022,909.679993,909.679993,22880800
10/25/21,950.530029,1045.02002,944.200012,1024.859985,1024.859985,62852100
10/26/21,1024.689941,1094.939941,1001.440002,1018.429993,1018.429993,62415000
10/27/21,1039.660034,1070.880005,1030.780029,1037.859985,1037.859985,38526500
10/28/21,1068.310059,1081,1054.199951,1077.040039,1077.040039,27213200
10/29/21,1081.859985,1115.209961,1073.209961,1114,1114,29918400
11/1/21,1145,1209.75,1118.660034,1208.589966,1208.589966,56048700
11/2/21,1159.359985,1208.589966,1146,1172,1172,42737800
11/3/21,1177.329956,1215.390015,1152.619995,1213.859985,1213.859985,34628500
11/4/21,1234.410034,1243.48999,1217,1229.910034,1229.910034,25397400
11/5/21,1228,1239.869995,1208,1222.089966,1222.089966,21579900
11/8/21,1149.790039,1197,1133,1162.939941,1162.939941,33445700
11/9/21,1173.599976,1174.5,1011.52002,1023.5,1023.5,59105800
11/10/21,1010.409973,1078.099976,987.309998,1067.949951,1067.949951,42802700
11/11/21,1102.77002,1104.969971,1054.680054,1063.51001,1063.51001,22396600
11/12/21,1047.5,1054.5,1019.200012,1033.420044,1033.420044,25182300
11/15/21,1017.630005,1031.97998,978.599976,1013.390015,1013.390015,34775600
11/16/21,1003.309998,1057.199951,1002.179993,1054.72998,1054.72998,26542400
11/17/21,1063.51001,1119.640015,1055.5,1089.01001,1089.01001,31445400
11/18/21,1106.550049,1112,1075.02002,1096.380005,1096.380005,20898900
11/19/21,1098.869995,1138.719971,1092.699951,1137.060059,1137.060059,21642300
11/22/21,1162.329956,1201.949951,1132.430054,1156.869995,1156.869995,33072500
11/23/21,1167.51001,1180.5,1062.699951,1109.030029,1109.030029,36171700
11/24/21,1080.390015,1132.77002,1062,1116,1116,22560200
11/26/21,1099.469971,1108.780029,1081,1081.920044,1081.920044,11680900
11/29/21,1100.98999,1142.670044,1100.189941,1136.98999,1136.98999,19464500
11/30/21,1144.369995,1168,1118,1144.76001,1144.76001,27092000
12/1/21,1160.699951,1172.839966,1090.76001,1095,1095,22816800
12/2/21,1099.060059,1113,1056.650024,1084.599976,1084.599976,24371600
12/3/21,1084.790039,1090.579956,1000.210022,1014.969971,1014.969971,30696300
12/6/21,1001.51001,1021.640015,950.5,1009.01001,1009.01001,27221000
12/7/21,1044.199951,1057.670044,1026.810059,1051.75,1051.75,18694900
12/8/21,1052.709961,1072.380005,1033,1068.959961,1068.959961,13968800
12/9/21,1060.640015,1062.48999,1002.359985,1003.799988,1003.799988,19812800
12/10/21,1008.75,1020.97998,982.530029,1017.030029,1017.030029,19855000
12/13/21,1001.090027,1005,951.419983,966.409973,966.409973,26198500
12/14/21,945,966.409973,930,958.51001,958.51001,23602100
