Date,Open,High,Low,Close,Adj Close,Volume
9/16/21,44.880001,44.990002,44.029999,44.470001,44.08305,22424200
9/17/21,44.169998,44.459999,43.310001,43.889999,43.508095,56370500
9/20/21,43.389999,44.650002,43.389999,44.200001,43.815395,41873000
9/21/21,44.25,44.73,43.849998,43.919998,43.53783,23645600
9/22/21,43.990002,44.389999,43.830002,43.950001,43.567574,22616700
9/23/21,44.279999,44.720001,44.150002,44.189999,43.805481,19719200
9/24/21,44.07,44.41,43.810001,43.939999,43.557655,16150700
9/27/21,43.919998,44.130001,43.509998,43.57,43.190876,19955900
9/28/21,43.07,43.279999,42.43,43.040001,42.665489,28512200
9/29/21,43.220001,43.689999,43.080002,43.529999,43.151226,18037200
9/30/21,43.790001,44.049999,42.970001,43.009998,42.63575,21103300
10/1/21,42.52,43.099998,41.700001,42.93,42.556446,38483000
10/4/21,42.93,43.349998,42.209999,42.419998,42.050884,28906500
10/5/21,42.529999,42.790001,42.279999,42.32,41.951756,19342600
10/6/21,42.060001,42.200001,41.689999,42.02,41.654366,30483800
10/7/21,42.52,42.959999,42.209999,42.740002,42.368103,19778300
10/8/21,42.73,42.91,42.34,42.450001,42.080624,12770200
10/11/21,42.450001,42.619999,42.009998,42.060001,41.694019,11984200
10/12/21,42.16,42.209999,41.66,41.849998,41.485844,16222300
10/13/21,41.75,41.91,40.939999,41.419998,41.059586,28205700
10/14/21,41.560001,41.959999,41.52,41.669998,41.307407,17590300
10/15/21,41.900002,42.029999,41.380001,41.490002,41.128979,23530800
10/18/21,41.450001,41.700001,41.040001,41.32,40.960457,21733000
10/19/21,41.599998,42.200001,41.540001,42.09,41.723755,17159800
10/20/21,42.119999,43.110001,42.099998,42.799999,42.427578,22788300
10/21/21,43.060001,43.09,42.43,42.860001,42.487057,22142300
10/22/21,42.82,43.189999,42.630001,43.16,42.784447,17183000
10/25/21,43.200001,43.240002,42.57,43.150002,42.774532,22846200
10/26/21,43.330002,43.759998,42.919998,43.560001,43.180965,29729100
10/27/21,43.459999,43.560001,42.68,42.970001,42.5961,22317500
10/28/21,42.950001,43.669998,42.939999,43.18,42.804272,18023400
10/29/21,43.09,43.830002,42.860001,43.740002,43.359402,30257400
11/1/21,44.139999,44.290001,43.439999,43.639999,43.260269,32681500
11/2/21,45.080002,46.040001,43.049999,45.450001,45.05452,69248000
11/3/21,45.52,45.990002,44.48,44.82,44.43,44593100
11/4/21,44.290001,44.470001,43.310001,43.849998,43.849998,38172500
11/5/21,48.09,48.810001,46.549999,48.610001,48.610001,173753300
11/8/21,48.610001,48.790001,47.599998,48.330002,48.330002,57423300
11/9/21,48.330002,48.380001,47.150002,47.299999,47.299999,29920400
11/10/21,47.400002,49.209999,47.400002,49.02,49.02,42696200
11/11/21,49.23,50.5,48.73,50.18,50.18,42370400
11/12/21,50.419998,50.490002,49.57,49.73,49.73,27766700
11/15/21,49.73,50.099998,49.369999,49.650002,49.650002,27763200
11/16/21,49.470001,50.16,48.889999,49.599998,49.599998,31297200
11/17/21,49.939999,51.09,49.689999,50.869999,50.869999,36889800
11/18/21,51.099998,51.709999,50.610001,51.41,51.41,32872600
11/19/21,51.959999,52.84,50.68,50.799999,50.799999,47966200
11/22/21,50.950001,51.470001,50.380001,51.200001,51.200001,27287900
11/23/21,50.580002,51.450001,50.299999,51.080002,51.080002,24946200
11/24/21,51.18,51.330002,50.709999,50.889999,50.889999,18556800
11/26/21,54.040001,54.939999,53.25,54,54,66561300
11/29/21,55.150002,55.700001,52.110001,52.400002,52.400002,72660800
11/30/21,52.310001,54.459999,51.91,53.73,53.73,64598400
12/1/21,52.470001,55.169998,51.860001,54.68,54.68,59810400
12/2/21,53.82,55.080002,52.77,53.040001,53.040001,46361700
12/3/21,53.709999,54.41,53.099998,54.27,54.27,37544700
12/6/21,53.779999,53.889999,51.25,51.48,51.48,53724000
12/7/21,51.25,52.5,50.400002,51.720001,51.720001,41575400
12/8/21,52.75,53.080002,51.029999,51.400002,51.400002,37429200
12/9/21,51.509998,52.849998,51.509998,52.080002,52.080002,38325700
12/10/21,51.200001,52.849998,51.110001,52.779999,52.779999,26043000
12/13/21,53.439999,55.73,53.439999,55.200001,55.200001,54923200
12/14/21,54.77,55.950001,54.32,55.540001,55.540001,48685700
